past_negative,past_negative_raw,past_positive,past_positive_raw,present_fatalism,present_fatalism_raw,present_hedonism,present_hedonism_raw,future,future_raw,physical_activity,total_met,sex,age,population,education,physical_activity_level,physical_activity_importance
2,2.3,2,3.111111111111111,2,2.2222222222222223,2,2.2666666666666666,3,4.230769230769231,2,649.5,1,41,1,4,5,5
2,3.5,2,3.888888888888889,2,2.2222222222222223,2,2.8,2,3.6153846153846154,2,798.0,3,39,4,4,4,5
2,3.3,2,3.3333333333333335,2,2.7777777777777777,2,2.7333333333333334,2,2.4615384615384617,1,0.0,3,30,5,4,2,2
2,3.0,2,3.4444444444444446,2,2.2222222222222223,2,3.2666666666666666,2,3.6153846153846154,2,720.0,1,21,5,3,4,4
2,2.5,3,4.222222222222222,2,3.0,2,3.0,2,3.230769230769231,2,259.0,1,45,3,4,4,4
2,2.3,2,3.5555555555555554,2,2.888888888888889,2,3.066666666666667,2,3.3076923076923075,2,1059.0,3,31,5,4,3,4
2,2.4,3,4.555555555555555,2,2.5555555555555554,2,3.6,2,3.5384615384615383,1,0.0,1,26,5,4,4,4
1,1.8,2,3.6666666666666665,1,1.8888888888888888,2,3.2,2,3.5384615384615383,2,716.0,3,20,1,3,4,4
2,2.7,2,3.3333333333333335,2,2.3333333333333335,2,3.0,2,3.769230769230769,2,1596.0,3,46,3,4,1,1
2,2.4,2,3.5555555555555554,2,3.111111111111111,2,3.3333333333333335,2,2.5384615384615383,2,438.0,1,25,5,4,2,3
3,4.1,2,3.0,2,3.3333333333333335,2,2.3333333333333335,2,3.1538461538461537,1,678.0,1,18,1,3,2,2
2,2.4,2,3.3333333333333335,2,2.3333333333333335,2,3.4,2,3.3846153846153846,1,0.0,1,24,3,5,3,3
2,2.2,2,3.888888888888889,2,2.2222222222222223,2,3.0,2,3.3076923076923075,2,2358.0,3,24,1,2,3,3
2,2.7,1,1.6666666666666667,2,3.3333333333333335,2,2.2666666666666666,2,2.6153846153846154,3,4320.0,3,27,5,3,4,5
3,4.0,2,2.7777777777777777,2,2.888888888888889,2,3.466666666666667,2,2.6923076923076925,3,4632.0,3,18,1,1,3,3
3,4.0,1,1.8888888888888888,2,2.3333333333333335,2,2.3333333333333335,2,3.5384615384615383,1,0.0,1,19,1,3,2,2
3,4.2,2,2.6666666666666665,2,2.6666666666666665,2,3.3333333333333335,3,4.3076923076923075,2,485.0,3,26,3,4,4,4
2,3.0,2,3.5555555555555554,2,3.111111111111111,2,3.0,3,4.076923076923077,2,1017.0,1,26,5,4,4,5
1,2.0,2,3.2222222222222223,1,2.0,2,3.8666666666666667,2,3.923076923076923,2,198.0,1,37,5,4,4,4
